TwrElev        TwrDiam        TwrCd          TwrTI          TwrCb
(m)              (m)           (-)            (-)           (-)
0.0000000E+01  6.0000000E+00  1.0000000E+00  1.0000000E-01  0.0
1.0000000E+01  6.0000000E+00  1.0000000E+00  1.0000000E-01  0.0
1.7760000E+01  5.7870000E+00  1.0000000E+00  1.0000000E-01  0.0
2.5520000E+01  5.5740000E+00  1.0000000E+00  1.0000000E-01  0.0
3.3280000E+01  5.3610000E+00  1.0000000E+00  1.0000000E-01  0.0
4.1040000E+01  5.1480000E+00  1.0000000E+00  1.0000000E-01  0.0
4.8800000E+01  4.9350000E+00  1.0000000E+00  1.0000000E-01  0.0
5.6560000E+01  4.7220000E+00  1.0000000E+00  1.0000000E-01  0.0
6.4320000E+01  4.5090000E+00  1.0000000E+00  1.0000000E-01  0.0
7.2080000E+01  4.2960000E+00  1.0000000E+00  1.0000000E-01  0.0
7.9840000E+01  4.0830000E+00  1.0000000E+00  1.0000000E-01  0.0
8.7600000E+01  3.8700000E+00  1.0000000E+00  1.0000000E-01  0.0
