
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 30-Sep-2024 at 16:57:35.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.1085755E+06   1.1085806E+06   1.1085755E+06   9.0999838E+05   9.1000350E+05   9.0999838E+05
    0.0050   1.1085480E+06   1.1087068E+06   1.1085481E+06   9.0996106E+05   9.0996619E+05   9.0996106E+05
    0.0100   1.1085178E+06   1.1087885E+06   1.1085082E+06   9.0992369E+05   9.0992881E+05   9.0992369E+05
    0.0150   1.1084825E+06   1.1088964E+06   1.1084832E+06   9.0988612E+05   9.0989125E+05   9.0988612E+05
    0.0200   1.1084542E+06   1.1089975E+06   1.1084439E+06   9.0984850E+05   9.0985356E+05   9.0984850E+05
    0.0250   1.1084188E+06   1.1090976E+06   1.1084039E+06   9.0981069E+05   9.0981575E+05   9.0981069E+05
    0.0300   1.1083822E+06   1.1091990E+06   1.1083616E+06   9.0977275E+05   9.0977788E+05   9.0977275E+05
    0.0350   1.1083449E+06   1.1092986E+06   1.1083151E+06   9.0973475E+05   9.0973981E+05   9.0973475E+05
    0.0400   1.1083052E+06   1.1093985E+06   1.1082664E+06   9.0969662E+05   9.0970169E+05   9.0969662E+05
    0.0450   1.1082639E+06   1.1094979E+06   1.1082150E+06   9.0965844E+05   9.0966350E+05   9.0965844E+05
    0.0500   1.1082205E+06   1.1095972E+06   1.1081610E+06   9.0962025E+05   9.0962531E+05   9.0962025E+05
    0.0550   1.1081751E+06   1.1096965E+06   1.1081049E+06   9.0958206E+05   9.0958712E+05   9.0958206E+05
    0.0600   1.1081275E+06   1.1097959E+06   1.1080468E+06   9.0954388E+05   9.0954894E+05   9.0954388E+05
    0.0650   1.1080775E+06   1.1098954E+06   1.1079870E+06   9.0950588E+05   9.0951088E+05   9.0950588E+05
    0.0700   1.1080252E+06   1.1099952E+06   1.1079260E+06   9.0946794E+05   9.0947300E+05   9.0946794E+05
    0.0750   1.1079702E+06   1.1100955E+06   1.1078641E+06   9.0943031E+05   9.0943538E+05   9.0943031E+05
    0.0800   1.1079126E+06   1.1101962E+06   1.1078018E+06   9.0939294E+05   9.0939794E+05   9.0939294E+05
    0.0850   1.1078521E+06   1.1102976E+06   1.1077392E+06   9.0935581E+05   9.0936088E+05   9.0935581E+05
    0.0900   1.1077888E+06   1.1103996E+06   1.1076771E+06   9.0931912E+05   9.0932419E+05   9.0931912E+05
    0.0950   1.1077225E+06   1.1105022E+06   1.1076156E+06   9.0928288E+05   9.0928788E+05   9.0928288E+05
    0.1000   1.1076530E+06   1.1106055E+06   1.1075551E+06   9.0924700E+05   9.0925206E+05   9.0924700E+05
    0.1050   1.1075805E+06   1.1107096E+06   1.1074961E+06   9.0921162E+05   9.0921662E+05   9.0921162E+05
