  HtFract       TMassDen         TwFAStif       TwSSStif
   (-)           (kg/m)           (Nm^2)         (Nm^2)
0.0000000E+000  4.6670000E+003  6.0390300E+011  6.0390300E+011  
1.0000000E-001  4.3452800E+003  5.1764400E+011  5.1764400E+011  
2.0000000E-001  4.0347600E+003  4.4092500E+011  4.4092500E+011  
3.0000000E-001  3.7354400E+003  3.7302200E+011  3.7302200E+011  
4.0000000E-001  3.4473200E+003  3.1323600E+011  3.1323600E+011  
5.0000000E-001  3.1704000E+003  2.6089700E+011  2.6089700E+011  
6.0000000E-001  2.9046900E+003  2.1536500E+011  2.1536500E+011  
7.0000000E-001  2.6501800E+003  1.7602800E+011  1.7602800E+011  
8.0000000E-001  2.4068800E+003  1.4230100E+011  1.4230100E+011  
9.0000000E-001  2.1747700E+003  1.1363000E+011  1.1363000E+011  
1.0000000E+000  1.9538700E+003  8.9488000E+010  8.9488000E+010
