  HtFract       TMassDen         TwFAStif       TwSSStif
   (-)           (kg/m)           (Nm^2)         (Nm^2)
0.0000000E+00  5.5908700E+03  6.1434300E+11  6.1434300E+11  
1.0000000E-01  5.2324300E+03  5.3482100E+11  5.3482100E+11  
2.0000000E-01  4.8857600E+03  4.6326700E+11  4.6326700E+11  
3.0000000E-01  4.5508700E+03  3.9913100E+11  3.9913100E+11  
4.0000000E-01  4.2277500E+03  3.4188300E+11  3.4188300E+11  
5.0000000E-01  3.9164100E+03  2.9101100E+11  2.9101100E+11  
6.0000000E-01  3.6168300E+03  2.4602700E+11  2.4602700E+11  
7.0000000E-01  3.3290300E+03  2.0645700E+11  2.0645700E+11  
8.0000000E-01  3.0530100E+03  1.7185100E+11  1.7185100E+11  
9.0000000E-01  2.7887500E+03  1.4177600E+11  1.4177600E+11  
1.0000000E+00  2.5362700E+03  1.1582000E+11  1.1582000E+11  
