
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 31-Jan-2025 at 19:54:57.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.1085755E+06   1.1085806E+06   1.1085755E+06   9.0999838E+05   9.1000350E+05   9.0999838E+05
    0.0050   1.1085460E+06   1.1085478E+06   1.1085440E+06   9.0996106E+05   9.0996619E+05   9.0996106E+05
    0.0100   1.1085092E+06   1.1085088E+06   1.1085062E+06   9.0992369E+05   9.0992881E+05   9.0992369E+05
    0.0150   1.1084770E+06   1.1084734E+06   1.1084710E+06   9.0988612E+05   9.0989125E+05   9.0988612E+05
    0.0200   1.1084415E+06   1.1084348E+06   1.1084318E+06   9.0984850E+05   9.0985356E+05   9.0984850E+05
    0.0250   1.1084056E+06   1.1083959E+06   1.1083909E+06   9.0981069E+05   9.0981575E+05   9.0981069E+05
    0.0300   1.1083685E+06   1.1083559E+06   1.1083474E+06   9.0977275E+05   9.0977788E+05   9.0977275E+05
    0.0350   1.1083304E+06   1.1083149E+06   1.1083016E+06   9.0973475E+05   9.0973981E+05   9.0973475E+05
    0.0400   1.1082910E+06   1.1082731E+06   1.1082534E+06   9.0969662E+05   9.0970169E+05   9.0969662E+05
    0.0450   1.1082502E+06   1.1082306E+06   1.1082028E+06   9.0965844E+05   9.0966350E+05   9.0965844E+05
    0.0500   1.1082082E+06   1.1081876E+06   1.1081501E+06   9.0962025E+05   9.0962531E+05   9.0962025E+05
    0.0550   1.1081646E+06   1.1081440E+06   1.1080955E+06   9.0958206E+05   9.0958712E+05   9.0958206E+05
    0.0600   1.1081195E+06   1.1081000E+06   1.1080392E+06   9.0954388E+05   9.0954894E+05   9.0954388E+05
    0.0650   1.1080725E+06   1.1080558E+06   1.1079818E+06   9.0950588E+05   9.0951088E+05   9.0950588E+05
    0.0700   1.1080238E+06   1.1080114E+06   1.1079232E+06   9.0946794E+05   9.0947300E+05   9.0946794E+05
    0.0750   1.1079731E+06   1.1079669E+06   1.1078641E+06   9.0943031E+05   9.0943538E+05   9.0943031E+05
    0.0800   1.1079202E+06   1.1079225E+06   1.1078050E+06   9.0939294E+05   9.0939794E+05   9.0939294E+05
    0.0850   1.1078651E+06   1.1078782E+06   1.1077460E+06   9.0935581E+05   9.0936088E+05   9.0935581E+05
    0.0900   1.1078076E+06   1.1078342E+06   1.1076878E+06   9.0931912E+05   9.0932419E+05   9.0931912E+05
    0.0950   1.1077478E+06   1.1077904E+06   1.1076306E+06   9.0928288E+05   9.0928788E+05   9.0928288E+05
    0.1000   1.1076851E+06   1.1077469E+06   1.1075749E+06   9.0924700E+05   9.0925200E+05   9.0924700E+05
    0.1050   1.1076200E+06   1.1077038E+06   1.1075210E+06   9.0921162E+05   9.0921662E+05   9.0921162E+05
